# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/full-raxml-itol-export_2758_reconciled.tre	(..)/C14_MP_supertree_rooted.tre	2758	0.02579004722121322	142.0	5506.0	0.9731494920174165	0.9752727272727273	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/fulldata_parsD_rooted.tre	(..)/C14_MP_supertree_rooted.tre	2758	0.02869596803487105	158.0	5506.0	0.9702467343976778	0.9723636363636363	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/D8_MP_supertree_rooted.tre	(..)/C18_MP_supertree_rooted.tre	2758	0.013392038158136122	73.0	5451.0	0.997773654916512	0.9756894049346879	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/D9_MP_supertree_trimmed_rooted.tre	(..)/C18_MP_supertree_rooted.tre	2758	0.007494059586912813	41.0	5471.0	1.0	0.9851233671988389	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S11_MP_supertree_rooted.tre	(..)/C18_MP_supertree_rooted.tre	2758	0.0634199527530438	349.0	5503.0	0.9381143065161995	0.9350507982583455	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S13_MP_supertree_rooted.tre	(..)/C18_MP_supertree_rooted.tre	2758	0.06100217864923747	336.0	5508.0	0.9396802325581395	0.9383164005805515	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S16_MP_supertree_rooted.tre	(..)/C18_MP_supertree_rooted.tre	2758	0.06172839506172839	340.0	5508.0	0.938953488372093	0.9375907111756169	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S19_MP_supertree_trimmed_rooted.tre	(..)/C18_MP_supertree_rooted.tre	2758	0.058502906976744186	322.0	5504.0	0.9428675400291121	0.9401306240928883	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/S9_MP_supertree_rooted.tre	(..)/C18_MP_supertree_rooted.tre	2758	0.06749135892304893	371.0	5497.0	0.935060197008391	0.9299709724238027	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/full-raxml-itol-export_2758_reconciled.tre	(..)/C18_MP_supertree_rooted.tre	2758	0.021407837445573296	118.0	5512.0	0.9785921625544267	0.9785921625544267	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/fulldata_parsD_rooted.tre	(..)/C18_MP_supertree_rooted.tre	2758	0.024310595065312045	134.0	5512.0	0.9756894049346879	0.9756894049346879	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
(..)/D9_MP_supertree_trimmed_rooted.tre	(..)/D8_MP_supertree_rooted.tre	2758	0.011829944547134935	64.0	5410.0	0.9845303867403314	0.9918367346938776	1	NA
# source	ref	E.size	nRF	RF	maxRF	src-branches	ref-branches	subtrees	treekoD
